Time,Respiration
53.835,-4.86175537109375
53.8355,-4.87884521484375
53.836,-4.89593505859375
53.8365,-4.91302490234375
53.837,-4.93011474609375
53.8375,-4.947509765625
53.838,-4.964599609375
53.8385,-4.98199462890625
53.839,-4.99908447265625
53.8395,-5.01617431640625
53.84,-5.0335693359375
53.8405,-5.0506591796875
53.841,-5.0677490234375
53.8415,-5.0848388671875
53.842,-5.1019287109375
53.8425,-5.11871337890625
53.843,-5.13580322265625
53.8435,-5.152587890625
53.844,-5.16937255859375
53.8445,-5.1861572265625
53.845,-5.20263671875
53.8455,-5.2191162109375
53.846,-5.235595703125
53.8465,-5.2520751953125
53.847,-5.26824951171875
53.8475,-5.284423828125
53.848,-5.30029296875
53.8485,-5.316162109375
53.849,-5.33203125
53.8495,-5.34759521484375
53.85,-5.3631591796875
53.8505,-5.37841796875
53.851,-5.3936767578125
53.8515,-5.40863037109375
53.852,-5.423583984375
53.8525,-5.43853759765625
53.853,-5.452880859375
53.8535,-5.467529296875
53.854,-5.48187255859375
53.8545,-5.49591064453125
53.855,-5.5096435546875
53.8555,-5.52337646484375
53.856,-5.537109375
53.8565,-5.55023193359375
53.857,-5.5633544921875
53.8575,-5.57647705078125
53.858,-5.5889892578125
53.8585,-5.60150146484375
53.859,-5.61370849609375
53.8595,-5.62591552734375
53.86,-5.6378173828125
53.8605,-5.6494140625
53.861,-5.66070556640625
53.8615,-5.6719970703125
53.862,-5.6829833984375
53.8625,-5.6939697265625
53.863,-5.704345703125
53.8635,-5.7147216796875
53.864,-5.72479248046875
53.8645,-5.73486328125
53.865,-5.74462890625
53.8655,-5.75408935546875
53.866,-5.7635498046875
53.8665,-5.772705078125
53.867,-5.78155517578125
53.8675,-5.79010009765625
53.868,-5.79864501953125
53.8685,-5.806884765625
53.869,-5.81512451171875
53.8695,-5.82305908203125
53.870000000000005,-5.8306884765625
53.8705,-5.83831787109375
53.871,-5.84564208984375
53.871500000000005,-5.8526611328125
53.872,-5.85968017578125
53.8725,-5.86639404296875
53.873000000000005,-5.87310791015625
53.8735,-5.8795166015625
53.874,-5.8856201171875
53.8745,-5.8917236328125
53.875,-5.89752197265625
53.8755,-5.9033203125
53.876,-5.9088134765625
53.8765,-5.914306640625
53.877,-5.9197998046875
53.8775,-5.92498779296875
53.878,-5.92987060546875
53.8785,-5.93475341796875
53.879,-5.93963623046875
53.8795,-5.9442138671875
53.88,-5.94879150390625
53.8805,-5.95306396484375
53.881,-5.95733642578125
53.8815,-5.96160888671875
53.882,-5.965576171875
53.8825,-5.9698486328125
53.883,-5.97381591796875
53.8835,-5.977783203125
53.884,-5.9814453125
53.8845,-5.98541259765625
53.885,-5.98907470703125
53.8855,-5.99273681640625
53.886,-5.99639892578125
53.8865,-6.00006103515625
53.887,-6.00372314453125
53.8875,-6.007080078125
53.888,-6.0107421875
53.8885,-6.01409912109375
53.889,-6.01776123046875
53.8895,-6.0211181640625
53.89,-6.02447509765625
53.8905,-6.02783203125
53.891,-6.031494140625
53.8915,-6.03485107421875
53.892,-6.0382080078125
53.8925,-6.041259765625
53.893,-6.04461669921875
53.8935,-6.0479736328125
53.894,-6.05133056640625
53.8945,-6.05438232421875
